,player,DRAPM,ORAPM,Total_RAPM
467,Amber Brown,0.1785,0.2484,0.4269
468,Amber Bullard,-0.6791,0.0115,-0.6677
469,Amber Howard,-0.5893,-0.4803,-1.0696
470,Amber Kartchner,-0.6297,-0.435,-1.0647
471,Amber Scalia,-1.7159,5.807,4.0911
472,Amber Scott,0.2477,0.8078,1.0555
473,Amber Tretter,0.6752,2.7424,3.4176
474,Amberly Brown,-2.2867,-1.3659,-3.6526
475,Amelia Hassett,2.3929,7.4304,9.8232
476,Amelia Hobson,0.6149,1.0756,1.6905
477,Amelia Osgood,-0.6008,2.0883,1.4875
478,Amelia Pfeiffer,0.3636,0.5667,0.9303
479,Amelia Raidaveta,-1.2981,-1.0122,-2.3103
480,Amelia Sandie,0.2538,0.1054,0.3591
481,Amelia Scharpf,0.8311,1.2238,2.0549
482,Amelia Strong,-0.8472,2.085,1.2379
483,Amelia Wood,1.0309,0.6954,1.7262
484,Amelie Sitterud,-1.04,1.494,0.4539
485,Amellia Bromenschenkel,0.7683,5.457,6.2253
486,Amhyia Moreland,0.4921,4.5794,5.0715
487,Amiah Hargrove,0.0607,7.9369,7.9976
488,Amiah Simmons,-3.6993,4.2143,0.515
489,Amiaya Morgan,-2.5301,-0.0183,-2.5484
490,Amina Gray,-2.0566,1.4295,-0.6271
491,Amina Kameric,-2.2954,-2.5638,-4.8592
492,Amina Muhammad,-1.0106,4.5558,3.5453
493,Aminata Diakite,-2.9034,-0.3003,-3.2037
494,Aminata Hernandez,-0.2196,-0.2166,-0.4362
495,Aminata Ly,1.9459,1.28,3.2259
496,Aminata Tal,-1.7726,-1.2696,-3.0423
497,Aminata Zie,-0.5816,-0.2543,-0.8358
498,Amira Brown,-1.0532,0.6107,-0.4425
499,Amira Mabry,-3.298,1.79,-1.508
500,Amira Ofunniyin,-0.2257,-0.7017,-0.9274
501,Amira Williams,1.3619,1.345,2.707
502,Amirah Abdur-Rahim,0.0096,1.6412,1.6508
503,Amirah Allen,-0.508,-0.517,-1.025
504,Amirah Anderson,-3.087,2.4706,-0.6164
